category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Septième Solo : Pour Le Cor avec Piano obligé : Oeuvre 23,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992717,,,
metadata,FAAM manifestation ID,id,KCG-000345313,,,
metadata,call number,string,A-307,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,9tkKrhbM,,dolce,
statements,editorial annotation,item,QyAptNqX,,ritardando,
statements,editorial annotation,item,kxAqh9HR,,tempo primo,
statements,editorial annotation,item,93GDD9ND,,ornament,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,amkJ6EBs,,cadenza,
statements,editorial annotation,item,3TH8dCwg,,accelerando,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,provenance,item,7jH33jwQ,,Library Royal Conservatoire Ghent,
statements,related item,item,FGEPRAzo,,Friedrich Kalkbrenner,
statements,keyword,item,QHAoKPG8,,solo,
statements,keyword,item,UM7y2NCo,,chamber music,
statements,keyword,item,Mr4ByBuL,,wind music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,SRXTUjuW,,horn,
statements,agent,statement,AsPJ6dfX,,Jacques François Gallay,YvQmwaaW||
statements,agent,statement,GFV4FAhY,,Colombier Editeur,7tdgMgre|dtkJhYLf|
statements,agent,statement,KW3RZcDp,,Royal Conservatory of Ghent,9QaFAsRL|AYShtw7v|
