category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Variations sur les ""Folies d'Espagne"", op. 45",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992527,,,
metadata,FAAM manifestation ID,id,KCA-030904176952,,,
metadata,call number,string,UM-TGI-GIULI-varia45-1,,,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,TLaaNgbw,,chronometry,
statements,editorial annotation,item,GepDoTXn,,string number (sul X),
statements,editorial annotation,item,HHYqWvTC,,comparative study,
statements,editorial annotation,item,EXzrp8XT,,ossia,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,handwritten annotation,item,MR3kLpuM,,bar number,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,gdZjhzFU,,guitar music,
statements,keyword,item,PJUnFxn4,,theme and variations,
statements,keyword,item,WSAseG4G,,folia (follia),
statements,instrumentation,item,7RKddazD,,classical guitar,
statements,agent,statement,6Y4mMmBh,,Mauro Giuliani,YvQmwaaW||
statements,agent,statement,QYsgspze,,Betho Davezac,6UPEJgTQ||
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
statements,agent,statement,6zMfY2ZT,,Maximilian Eschig,7tdgMgre|dtkJhYLf|1976
