category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Pièces pour le Clavecin par Domenico Scarlatti,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005604,,,
metadata,FAAM manifestation ID,id,KCA-030903514823,,,
metadata,call number,string,TP79481,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,nTx2RkTQ,,trill,
statements,editorial annotation,item,2qoBxv5j,,performance practice,
statements,editorial annotation,item,EXzrp8XT,,ossia,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,LBfWd2va,,espressivo,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,kxAqh9HR,,tempo primo,
statements,editorial annotation,item,7WfWytMV,,ritenuto,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,RtkoMT89,,sonata,
statements,keyword,item,Gx3B7DJH,,early music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,bxvFoyt2,,"Keyboard Sonata in C major, K.95",
statements,musical work,item,e7jMwfQy,,"Keyboard Sonata in E major, K.20",
statements,musical work,item,QrZt6tiH,,"Keyboard Sonata in D major, K.430",
statements,musical work,item,c6PJKqJM,,"Keyboard Sonata in G major, K.259",
statements,musical work,item,9iVmFoBa,,"Keyboard Sonata in D major, K.33",
statements,agent,statement,PXYCpRXf,,Domenico Scarlatti,YvQmwaaW||
statements,agent,statement,NETLpz9B,,Adolphe Wouters,6UPEJgTQ||
statements,agent,statement,VHEan89z,,Jean Baptiste Katto,7tdgMgre|4g8XzGFP|
