category,faam_property,type,value,base_url,label
metadata,label,string,Giovanni Pierluigi da Palestrina,,
metadata,description,string,Italian Renaissance composer (c. 1525–1594),,
metadata,aliases,string,Giovanni Pierluigi de Palestrina,,
metadata,aliases,string,Giovanni da Palestrina,,
metadata,aliases,string,Giovanni Pierluigi da Palestrina,,
metadata,qid,externalid,Q179277,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15996128,,
statements,VIAF ID,externalid,92280854,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/1904,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Palestrina,_Giovanni_Pierluigi_da",https://imslp.org/wiki/,
statements,date of birth,date,1525,,
statements,date of death,date,1594-02-02,,
statements,instance of,item,aJeJBesD,,human
statements,occupation,item,5aTYuVxp,,composer
statements,occupation,item,QJhBdvTq,,chapelmaster
statements,occupation,item,L7DPWnnr,,music teacher
statements,occupation,item,ZhptKYF3,,organist
statements,occupation,item,R7KKRvQ6,,choir director
statements,occupation,item,oJ9qmRVq,,singer
statements,sex or gender,item,ku2dT5kg,,male
statements,nationality,item,Bk3pdD3B,,Papal States
statements,place of birth,item,LYwZphct,,
statements,place of death,item,D7zj8y2m,,
statements,instrument,item,ARCBiyhQ,,pipe organ
statements,influenced by,item,SGtJYpLe,,
statements,influenced by,item,MRiTHats,,
statements,influenced by,item,mi48Sqzj,,
statements,influenced by,item,X5ZPuQuo,,
statements,influenced by,item,3rzdvLHA,,
statements,influenced by,item,5ht5Bst3,,
