category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Berceuse,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992522,,,
metadata,FAAM manifestation ID,id,KCA-030904192645,,,
metadata,call number,string,UM-SC-RENAR-berce-2,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,BCLeS5SR,,con sordina,
statements,editorial annotation,item,GepDoTXn,,string number (sul X),
statements,editorial annotation,item,D6RjeTWv,,musical expression,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,m9rNaSAR,,rallentando,
statements,editorial annotation,item,kxAqh9HR,,tempo primo,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,handwritten annotation,item,mhohuJYG,,cut,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,ngDuDyvn,,Maison Brahy,7tdgMgre|nSKgHevT|
statements,agent,statement,R4SyinuD,,Félix Renard,YvQmwaaW||
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
