category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Le clavecin bien tempéré = Das wohltemperirte Clavier = The welltempered clavichord,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004386,,,
metadata,FAAM manifestation ID,id,KCA-03090507942,,,
metadata,call number,string,MM-TP-BACH-claveci-2,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,sections,html,Volume I,,,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,EgkVbUEo,,sostenuto,
statements,editorial annotation,item,7XBG3iZJ,,legato,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,j3tnVzW5,,diminuendo,
statements,editorial annotation,item,QyAptNqX,,ritardando,
statements,editorial annotation,item,kxAqh9HR,,tempo primo,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,TUdHPWU8,,alternative melody,
statements,editorial annotation,item,EXzrp8XT,,ossia,
statements,editorial annotation,item,LBfWd2va,,espressivo,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,NkfcVjHM,,music education,
statements,keyword,item,YLBjfZTJ,,fugue,
statements,keyword,item,YwvXPxhJ,,prelude,
statements,instrumentation,item,L9szjsBt,,keyboard instrument,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,dwdaRArz,,The Well-Tempered Clavier,
statements,agent,statement,GecAsFfL,,Johann Sebastian Bach,YvQmwaaW||
statements,agent,statement,NETLpz9B,,Adolphe Wouters,6UPEJgTQ||
statements,agent,statement,X8CowJzi,,Schott Music,7tdgMgre|4g8XzGFP|1899
