category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Sonata n° 40 (gigue en sol). Revision par Vincent d' Indy,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004021,,,
metadata,FAAM manifestation ID,id,BNF-43257976p,,,
metadata,call number,string,FOL-VM-1 (207),,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,K4TocMAK,,slur,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,GpNEm7nw,,engage pedal,
statements,editorial annotation,item,LQE77nqs,,release pedal,
statements,provenance,item,PRjsXYR5,,Bibliothèque Nationale de France,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,RtkoMT89,,sonata,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,DvJ3bpUT,,"Keyboard Sonata in G major, K.477",
statements,agent,statement,PXYCpRXf,,Domenico Scarlatti,YvQmwaaW||
statements,agent,statement,MpcFo7ct,,Maurice Senart,7tdgMgre||
statements,agent,statement,agWvDDr6,,Vincent d'Indy,6UPEJgTQ||
