category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Suite (in D-dur),,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004326,,,
metadata,FAAM manifestation ID,id,BSB-991076583969707356,,,
metadata,call number,string,2 Mus.pr. 8388#Beibd.7,,,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,GpNEm7nw,,engage pedal,
statements,editorial annotation,item,LQE77nqs,,release pedal,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,jP8px5zn,,bowing,
statements,provenance,item,KkB2M6Gx,,Bavarian State Library,
statements,keyword,item,Y5VdxeTi,,suite,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,4Jjg5FwX,,string music,
statements,keyword,item,LmDaVvmF,,reduction,
statements,keyword,item,WiBZjkbR,,arrangement,
statements,instrumentation,item,G8tgNnWV,,violin,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,WQWwNjAD,,"Orchestral Suite No.3 in D major, BWV 1068",
statements,agent,statement,GecAsFfL,,Johann Sebastian Bach,YvQmwaaW||
statements,agent,statement,2LiJbewP,,Ferdinand David,6UPEJgTQ||
statements,agent,statement,KRWTW5a4,,Bartholf Senff,7tdgMgre|4GU7NjmQ|1866
