category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Le Sang de la Sirène,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005540,,,
metadata,FAAM manifestation ID,id,ORP-20143988p37,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3222
L'Illustration, N. 3222",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,PNUCXvjA,,fantasy,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,YuCNjMbE,,Georges Marty,YvQmwaaW||
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|26-11-1904
