category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,The English madrigal school : a guide to its practical use,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992765,,,
metadata,FAAM manifestation ID,id,UTL-978107756,,,
metadata,call number,string,ML2631 .F48 1920 MUSI N,,,
metadata,score format,item,FYtu6ya8,,Music Treatise,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,2qoBxv5j,,performance practice,
statements,editorial annotation,item,HHYqWvTC,,comparative study,
statements,handwritten annotation,item,QeqFpJLJ,,underline,
statements,provenance,item,DwfPL64F,,University of Toronto Libraries,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,Jz7WgRXa,,polyphony,
statements,keyword,item,TKrPz99q,,historically informed performance,
statements,keyword,item,NkfcVjHM,,music education,
statements,keyword,item,EHXeMNgG,,madrigal,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,VMT5R4Gp,,Stainer & Bell,7tdgMgre|96rVh94r|1910
statements,agent,statement,Sfrz2XcR,,Edmund Fellowes,9QaFAsRL|96rVh94r|1910
