category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Recueil des morceaux de musique ancienne. [Huitième volume] [Música notada] :exécutés aux concerts de la Société de Musique vocale religieuse et classique, fondée à Paris en 1843 sous le patronage de Mesdames La Mle. Duchesse d'Albufera ... et sous la Direction de Mr. Le Prince de la Moskowa",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004033,,,
metadata,FAAM manifestation ID,id,BNE-bdh0000161243,,,
metadata,call number,string,M/1032,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,H9peVKU2,,Rehearsal letter,
statements,editorial annotation,item,j3tnVzW5,,diminuendo,
statements,editorial annotation,item,QfLRrJ2B,,rinforzando,
statements,editorial annotation,item,8N6k5W5i,,accidental,
statements,editorial annotation,item,D6RjeTWv,,musical expression,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,provenance,item,GnkzLFgd,,Biblioteca Nacional de España,
statements,related item,item,GSMAivCC,,Gaudeamus,
statements,related item,item,QVfkZEGR,,"Surgamus, eamus, properemus",
statements,related item,item,bQCkFf56,,In te Domine speravi,
statements,related item,item,TC3yXYwk,,Domine ad adjuvarum,
statements,related item,item,STizstGc,,Sicut erat,
statements,related item,item,ToWmAVrz,,Gratias agimus tibi,
statements,keyword,item,BdJHjaCE,,liturgical music,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,YVdQHjKd,,choral music,
statements,keyword,item,ik3NwdWW,,motet,
statements,keyword,item,ZMpsLcpT,,Cecilian Movement,
statements,instrumentation,item,nJY8Xxwz,,choir,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,jZ5Za9W2,,Napoléon Joseph Ney,7tdgMgre|dtkJhYLf|1843
statements,agent,statement,AmY4DwdD,,Giacomo Carissimi,YvQmwaaW||
statements,agent,statement,GUoz686r,,Giovanni Bononcini,YvQmwaaW||
statements,agent,statement,LgaHtMPL,,Giovanni Paolo Colonna,YvQmwaaW||
statements,agent,statement,kMPwaVZk,,Leonardo Leo,YvQmwaaW||
