category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Sonates : pour violon et piano, op. 5",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005600,,,
metadata,FAAM manifestation ID,id,KCA-030904920300,,,
metadata,call number,string,MM-SV-COREL-sonat-2,,,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,jP8px5zn,,bowing,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,K4TocMAK,,slur,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,H9peVKU2,,Rehearsal letter,
statements,editorial annotation,item,m9rNaSAR,,rallentando,
statements,handwritten annotation,item,7WfWytMV,,ritenuto,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,handwritten annotation,item,gaLrAUbu,,deletion,
statements,handwritten annotation,item,jP8px5zn,,bowing,
statements,handwritten annotation,item,eSzqVmee,,crescendo,
statements,handwritten annotation,item,NRsZG792,,bounding,
statements,handwritten annotation,item,SRaiiKJr,,decrescendo,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,related item,item,hUSShLaN,,"Sonates : pour violon et piano, op. 5",
statements,related item,item,mM92yEzz,,"Sonates : pour violon et piano, op. 5",
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,gKMU7J89,,realization of figured bass,
statements,keyword,item,Tf6tmSRP,,violin sonata,
statements,instrumentation,item,G8tgNnWV,,violin,
statements,musical work,item,FZuFAync,,"12 Violin Sonatas, Op.5",
statements,agent,statement,QyGsVBr2,,Arcangelo Corelli,YvQmwaaW||
statements,agent,statement,LCf5gW7Z,,Marcel Lejeune,6UPEJgTQ||
statements,agent,statement,X8CowJzi,,Schott Music,7tdgMgre|4g8XzGFP|1948
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN|bSzLPudk|
