category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Wien bleibt Wien!,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005376,,,
metadata,FAAM manifestation ID,id,ORP-20143703p17,,,
metadata,call number,string,KTS1 H.11.map.003,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"Score available at IMSLP:
https://imslp.org/wiki/Wien_bleibt_Wien!_%28Schrammel%2C_Johann%29",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,Qw4zjHnS,,dance music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,Va5KisRw,,Johann Schrammel,YvQmwaaW||
