category,faam_property,type,value,label,base_url,qualifiers
metadata,label,string,Il quarto libro dei madrigali,,,
metadata,description,string,,,,
metadata,nodegoat_id,id,16002808,,,
metadata,FAAM manifestation ID,id,KCA-030902628988,,,
metadata,call number,string,LM-VU-MONTE-tutte-4,,,
metadata,score format,item,ktjyHrtb,Full Score,,
metadata,score complexity,item,iTQMfTAE,Mechanical print,,
statements,IMSLP ID,externalid,"https://imslp.org/wiki/Madrigals,_Book_4,_SV_75%E2%80%9393_(Monteverdi,_Claudio)",,https://imslp.org/wiki/,
statements,date,date,1927,,,
statements,editorial annotation,item,eviEKifd,dynamic,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,LiFYdNgN,comparative study,,
statements,editorial annotation,item,VMA2AmEN,performance practice,,
statements,editorial annotation,item,WtvibJFF,accent,,
statements,editorial annotation,item,UDva945b,crescendo,,
statements,editorial annotation,item,e9t5BdLA,decrescendo,,
statements,editorial annotation,item,F9XSfSvU,Musica ficta,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,keyword,item,2FQ4SCuS,polyphony,,
statements,keyword,item,FSduWvy5,early music,,
statements,keyword,item,n8dr8Tqi,madrigal,,
statements,instrumentation,item,5yLc7bQJ,choir,,
statements,musical work,item,C7KyN6cJ,Q3413638,,
statements,agent,statement,PikNt4Wc,Claudio Monteverdi,,fkHJwpoD||
statements,agent,statement,3GuXLQzZ,Universal Music Publishing Group,,GBgJfRbK|3Lm9HPFF|1927
statements,agent,statement,MzBDptTH,Gian Francesco Malipiero,,45qo3Fj3||
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,45qo3Fj3,music editor,,
statements,place,item,3Lm9HPFF,Q49295398,,
