category,faam_property,type,value,label
metadata,label,string,Katechismus des Generalbass-Spiels 〈Harmonie-Übungen am Klavier〉 von Hugo Riemann,
metadata,description,string,,
metadata,nodegoat_id,id,16004209,
metadata,FAAM manifestation ID,id,BSB-991131830199707356,
metadata,call number,string,B.Sandb. 611,
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,FDCuefHz,Bavarian State Library
statements,keyword,item,Sdw2foGQ,music theory
statements,keyword,item,9farY66Z,music education
statements,instrumentation,item,8REteAN5,keyboard instrument
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
