category,faam_property,type,value,label,base_url,qualifiers
metadata,label,string,Drei Psalmlieder: für gem. 4stg. Chor zu Tonstücken von Johann Sebastian Bach gedichtet u. d. Chorgesang dargeboten,,,
metadata,description,string,,,,
metadata,nodegoat_id,id,16005729,,,
metadata,FAAM manifestation ID,id,BSB-991076922529707356,,,
metadata,call number,string,4 Mus.pr. 2464#Beibd.1,,,
metadata,score format,item,ktjyHrtb,Full Score,,
metadata,score complexity,item,iTQMfTAE,Mechanical print,,
statements,note,html,Choral compositions inspired by J.S. Bach's keyboard music.,,,
statements,IMSLP ID,externalid,"3 Psalmlieder, Op.13 (Cornelius, Peter)",,https://imslp.org/wiki/,
statements,date,date,1873,,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,eviEKifd,dynamic,,
statements,editorial annotation,item,UDva945b,crescendo,,
statements,editorial annotation,item,e9t5BdLA,decrescendo,,
statements,editorial annotation,item,B7WuhvkL,fermata,,
statements,provenance,item,FDCuefHz,Bavarian State Library,,
statements,keyword,item,7U54uqaV,period composition,,
statements,keyword,item,MaWnCnVw,arrangement,,
statements,keyword,item,FSduWvy5,early music,,
statements,instrumentation,item,5yLc7bQJ,choir,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,agent,statement,ZhveBtTN,Ernst Wilhelm Fritsch,,GBgJfRbK|GKcJxAtt|1873
statements,agent,statement,QhRQ5LW9,Johann Sebastian Bach,,fkHJwpoD||
statements,agent,statement,2eg9E4Mu,Peter Cornelius,,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,place,item,GKcJxAtt,Leipzig,,
