category,faam_property,type,value,label
metadata,label,string,Le Roi des montagnes,
metadata,description,string,,
metadata,nodegoat_id,id,16005429,
metadata,FAAM manifestation ID,id,ORP-20143702p47,
metadata,call number,string,KTS1 H.11.map.004,
metadata,score format,item,ktjyHrtb,Full Score
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,TrYWxDhL,Orpheus Institute
statements,keyword,item,hxYumS2J,opera
statements,instrumentation,item,GoXpNrsh,piano
statements,instrumentation,item,VZE4bgeN,violin
statements,role,item,45qo3Fj3,music editor
