category,faam_property,type,value,label,qualifiers
metadata,label,string,Symphonisch Gedicht : voor Flute en Orchestra,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992564,,
metadata,FAAM manifestation ID,id,KCG-000745286,,
metadata,call number,string,A-1041,,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,J6ERsasy,metronome mark,
statements,editorial annotation,item,CPJ2a2C2,articulation,
statements,editorial annotation,item,AeKhRWCB,tempo primo,
statements,handwritten annotation,item,jCuFYGDc,ink stamp,
statements,handwritten annotation,item,RePdmToB,breath mark,
statements,handwritten annotation,item,4PAdXGNC,alternative melody,
statements,handwritten annotation,item,UDva945b,crescendo,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,handwritten annotation,item,NsEoE4RP,musical expression,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,N9v5g9U5,symphonic poem,
statements,keyword,item,FXXnNaaQ,flute music,
statements,instrumentation,item,MV3uErvy,flute,
statements,musical work,item,PUD6vTPE,"Symphonisch gedicht voor fluit en orkest, Op.43a",
statements,agent,statement,73vECvez,Peter Benoit,fkHJwpoD||
statements,agent,statement,JEZ5AweR,Schott Music,GBgJfRbK|9k2MygHr|
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap|8LdweD7c|
statements,agent,statement,dqzZNPaF,Royal Conservatory of Ghent,NgFpoygv|8LdweD7c|
statements,agent,statement,dqzZNPaF,Royal Conservatory of Ghent,NgFpoygv|8LdweD7c|
statements,agent,statement,dqzZNPaF,Royal Conservatory of Ghent,NgFpoygv|8LdweD7c|
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GoiPpGap,performing artist,
statements,role,item,NgFpoygv,scholar,
statements,role,item,NgFpoygv,scholar,
statements,role,item,NgFpoygv,scholar,
statements,place,item,9k2MygHr,City of Brussels,
statements,place,item,8LdweD7c,Ghent,
statements,place,item,8LdweD7c,Ghent,
statements,place,item,8LdweD7c,Ghent,
statements,place,item,8LdweD7c,Ghent,
