category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Stradella. Potpourri, Piano Solo",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005383,,,
metadata,FAAM manifestation ID,id,ORP-20143702p1,,,
metadata,call number,string,KTS1 H.11.map.004,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,sections,html,Resource available on IMSLP: https://imslp.org/wiki/Alessandro_Stradella_(Flotow%2C_Friedrich_von),,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,7AXGCpck,,opera,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,HX9a7CfC,,Friedrich von Flotow,YvQmwaaW||
