category,faam_property,type,value,label,qualifiers
metadata,label,string,Quatre Petites Pièces,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005363,,
metadata,FAAM manifestation ID,id,ORP-20143703p4,,
metadata,call number,string,KTS1 H.11.map.003,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,handwritten annotation,item,4PAdXGNC,alternative melody,
statements,handwritten annotation,item,6cyBEJLr,fingering,
statements,handwritten annotation,item,YWfofDz3,bounding,
statements,handwritten annotation,item,SnxsnGvi,deletion,
statements,handwritten annotation,item,bZxRjBKt,brackets,
statements,handwritten annotation,item,Wpq9sxzm,solmization,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,jvhZafsd,piano cycle,
statements,keyword,item,4ZvdnZdj,programme music,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,DdadiMfy,Alphonse Mailly,fkHJwpoD||
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||
statements,agent,statement,JEZ5AweR,Schott Music,GBgJfRbK|9k2MygHr|
statements,role,item,fkHJwpoD,composer,
statements,role,item,GoiPpGap,performing artist,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,9k2MygHr,City of Brussels,
