category,faam_property,type,value,label,qualifiers
metadata,label,string,Concert aria : kerstnacht = Air de concert : nuit de Noël,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992310,,
metadata,FAAM manifestation ID,id,KCA-030902518999,,
metadata,call number,string,MM-MS-WAMBA-kerstna-1,,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,THYV2oLw,Manuscript sketch,
statements,date,date,1906,,
statements,handwritten annotation,item,Pcc4PpDc,alternative lyrics,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,UzHv4AkZ,Christmas music,
statements,keyword,item,Xfg92onQ,concert aria,
statements,instrumentation,item,AazD6R5i,mezzo-soprano,
statements,instrumentation,item,KJkThvsq,voice,
statements,agent,statement,MCiewpqP,Émile Wambach,fkHJwpoD||1906
statements,role,item,fkHJwpoD,composer,
