category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Daria,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005547,,,
metadata,FAAM manifestation ID,id,ORP-20143988p44,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3240
L'Illustration, N. 3240",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,7AXGCpck,,opera,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,YuCNjMbE,,Georges Marty,YvQmwaaW||
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|01-04-1905
