category,faam_property,type,value,label,qualifiers
metadata,label,string,The ornamentations in Joh. Seb. Bach's pianoforte-works : studies and elucidations,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992702,,
metadata,FAAM manifestation ID,id,KCA-030902664280,,
metadata,call number,string,MM-ES-EHRLI-ornamen-1,,
metadata,score format,item,ifXZogMQ,Music Treatise,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,FSduWvy5,early music,
statements,keyword,item,SkoxZWi2,ornament,
statements,keyword,item,9farY66Z,music education,
statements,instrumentation,item,GoXpNrsh,piano,
statements,instrumentation,item,8REteAN5,keyboard instrument,
statements,agent,statement,QhRQ5LW9,Johann Sebastian Bach,fkHJwpoD||
statements,agent,statement,AxpTCbUg,Steingräber Verlag,GBgJfRbK|GKcJxAtt|
statements,agent,statement,CT372LTH,Marinus de Jong,NgFpoygv||
statements,agent,statement,NxAYomz7,Heinrich Ehrlich,fkHJwpoD||
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,NgFpoygv,scholar,
statements,role,item,fkHJwpoD,composer,
statements,place,item,GKcJxAtt,Leipzig,
