category,faam_property,type,value,label
metadata,label,string,Pam Pam! Nouvelle Danse Créole,
metadata,description,string,,
metadata,nodegoat_id,id,16005432,
metadata,FAAM manifestation ID,id,ORP-20143702p50,
metadata,call number,string,KTS1 H.11.map.004,
metadata,score format,item,mrQyCLJX,Polyphonic Parts
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,TrYWxDhL,Orpheus Institute
statements,keyword,item,RHxmTGG2,dance music
statements,instrumentation,item,GoXpNrsh,piano
statements,role,item,fkHJwpoD,composer
