category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Sonate n° 47 [i.e. 533] : allemande / Domenico Scarlatti...,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004010,,,
metadata,FAAM manifestation ID,id,BNF-43257907v,,,
metadata,call number,string,FOL-VM-1 (6),,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,K4TocMAK,,slur,
statements,editorial annotation,item,7XBG3iZJ,,legato,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,editorial annotation,item,93GDD9ND,,ornament,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,7WfWytMV,,ritenuto,
statements,provenance,item,PRjsXYR5,,Bibliothèque Nationale de France,
statements,keyword,item,RtkoMT89,,sonata,
statements,keyword,item,Gx3B7DJH,,early music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,Z56GR4x7,,"Keyboard Sonata in A major, K.533",
statements,agent,statement,PXYCpRXf,,Domenico Scarlatti,YvQmwaaW||
statements,agent,statement,agWvDDr6,,Vincent d'Indy,6UPEJgTQ||
statements,agent,statement,MpcFo7ct,,Maurice Senart,7tdgMgre||
