category,faam_property,type,value,label,qualifiers
metadata,label,string,"Le chant: méthode pratique et rapide: en 24 exercices pour la pose, le développement et l'assouplissement de la voix, suivis de 15 vocalises: édition pour ténor ou soprano",,
metadata,description,string,,,
metadata,nodegoat_id,id,16004997,,
metadata,FAAM manifestation ID,id,KCA-030902145678,,
metadata,call number,string,MM-ZOE-MANOU-chant-1,,
metadata,score format,item,ifXZogMQ,Music Treatise,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1909,,
statements,editorial annotation,item,VMA2AmEN,performance practice,
statements,editorial annotation,item,eviEKifd,dynamic,
statements,editorial annotation,item,TN2gP3Pq,Messa di voce,
statements,editorial annotation,item,WT9AcUBt,tempo,
statements,editorial annotation,item,9dz9ydpz,legato,
statements,editorial annotation,item,CPJ2a2C2,articulation,
statements,editorial annotation,item,WtvibJFF,accent,
statements,editorial annotation,item,J6ERsasy,metronome mark,
statements,editorial annotation,item,Di2mC26w,engage pedal,
statements,editorial annotation,item,NFazQXR2,release pedal,
statements,editorial annotation,item,Skma2JzR,accelerando,
statements,editorial annotation,item,RePdmToB,breath mark,
statements,editorial annotation,item,iWuVLJam,rallentando,
statements,editorial annotation,item,3WB3MVBB,Tenuto,
statements,editorial annotation,item,DqMNcjpW,trill,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,Vm5DPnGE,vocal pedagogy,
statements,keyword,item,dtY3aub7,vocal music,
statements,keyword,item,9farY66Z,music education,
statements,instrumentation,item,KJkThvsq,voice,
statements,instrumentation,item,ABS5BA5Q,soprano,
statements,instrumentation,item,LfjWYP98,tenor,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,MKrnDeh4,Théophile-Adolphe Manoury,fkHJwpoD||
statements,agent,statement,ghFBmNbP,Alphonse Leduc,GBgJfRbK|GDeKaNeC|1909
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
