category,faam_property,type,value,label
metadata,label,string,C'est le Frisson d'Amour,
metadata,description,string,,
metadata,nodegoat_id,id,16005431,
metadata,FAAM manifestation ID,id,ORP-20143702p49,
metadata,call number,string,KTS1 H.11.map.004,
metadata,score format,item,ktjyHrtb,Full Score
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,TrYWxDhL,Orpheus Institute
statements,keyword,item,HwinuQRS,song
statements,instrumentation,item,KJkThvsq,voice
statements,role,item,fkHJwpoD,composer
