category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Thorough-Bass Made Easy,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992799,,,
metadata,FAAM manifestation ID,id,ORP-20145655,,,
metadata,call number,string,KTS1 C3.25 03J48,,,
metadata,score format,item,FYtu6ya8,,Music Treatise,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,6hfQXjrV,,bookplate,
statements,editorial annotation,item,ePSpfWmF,,figured bass,
statements,editorial annotation,item,LtW88Gtx,,realization of figured bass,
statements,editorial annotation,item,2qoBxv5j,,performance practice,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,Mk25KX72,,music theory,
statements,keyword,item,awRfkzzU,,basso continuo,
statements,keyword,item,NkfcVjHM,,music education,
statements,instrumentation,item,L9szjsBt,,keyboard instrument,
statements,musical work,item,PWqdX6Dh,,Thorough-Bass Made Easy,
statements,agent,statement,2qSrGT5p,,Niccolo Pasquali,YvQmwaaW|96rVh94r|1765
