category,faam_property,type,value,label
metadata,label,string,Ave Maria : 1737 / par Rameau ; arrangé en choeur à 2 voix égales par Ch. Poisot,
metadata,description,string,,
metadata,nodegoat_id,id,16004269,
metadata,FAAM manifestation ID,id,BNF-44352176k,
metadata,call number,string,VMH-8568,
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,jTMjFsDj,Cecilian Movement
statements,keyword,item,FSduWvy5,early music
statements,instrumentation,item,KJkThvsq,voice
statements,instrumentation,item,5yLc7bQJ,choir
statements,instrumentation,item,GoXpNrsh,piano
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
