category,faam_property,type,value,label
metadata,label,string,Le Clavecin. Sonnet de Albert Mérat. Musique de Henri Maréchal. [A 1 voix et piano],
metadata,description,string,,
metadata,nodegoat_id,id,16004266,
metadata,FAAM manifestation ID,id,BNF-431326762,
metadata,call number,string,Fol-Vm7-7670 (1),
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,FSduWvy5,early music
statements,instrumentation,item,KJkThvsq,voice
statements,instrumentation,item,GoXpNrsh,piano
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
