category,faam_property,type,value,label
metadata,label,string,"Echos du temps passé. Recueil de chansons, noëls, madrigaux, brunettes, etc, du XIIème au XVIIIème siècle, suivis de chansons populaires... transcrits avec accompagnement de piano par J. B. Weckerlin. Vol. II",
metadata,description,string,,
metadata,nodegoat_id,id,16004272,
metadata,FAAM manifestation ID,id,BNF-43334227k,
metadata,call number,string,VM7-3981 (2),
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,FSduWvy5,early music
statements,keyword,item,A85JP7AT,organ music
statements,instrumentation,item,KJkThvsq,voice
statements,instrumentation,item,GoXpNrsh,piano
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
