category,faam_property,type,value,label,qualifiers
metadata,label,string,Fauvette,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005411,,
metadata,FAAM manifestation ID,id,ORP-20143702p29,,
metadata,call number,string,KTS1 H.11.map.004,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,01-1856,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,HwinuQRS,song,
statements,instrumentation,item,GoXpNrsh,piano,
statements,instrumentation,item,KJkThvsq,voice,
statements,agent,statement,Q27MoG2p,Charles de Montfort,fkHJwpoD||
statements,agent,statement,PZe8c2A5,Journal des Demoiselles,GBgJfRbK|GDeKaNeC|01-1856
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
