category,faam_property,type,value,label,qualifiers
metadata,label,string,Wien bleibt Wien!,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005376,,
metadata,FAAM manifestation ID,id,ORP-20143703p17,,
metadata,call number,string,KTS1 H.11.map.003,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,RHxmTGG2,dance music,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,GzuL4BkR,Johann Schrammel,fkHJwpoD||
statements,role,item,fkHJwpoD,composer,
