category,faam_property,type,value,label
metadata,label,string,"Partimenti ossia Basso numerato opera completa di Fedele Fenaroli, per uso degli alunni del Regal Conservatorio di Napoli a Niccola Zingarelli, maestro di S. Pietro in Roma, direttore del medesimo conservatorio dall'editore dedicata",
metadata,description,string,,
metadata,nodegoat_id,id,16004267,
metadata,FAAM manifestation ID,id,BNF-42984522m,
metadata,call number,string,VM8-315,
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,Sdw2foGQ,music theory
statements,keyword,item,5ejHUauG,partimento
statements,keyword,item,9farY66Z,music education
statements,instrumentation,item,GoXpNrsh,piano
statements,instrumentation,item,8REteAN5,keyboard instrument
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
