category,faam_property,type,value,label,qualifiers
metadata,label,string,Patrouille persane pour piano,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992783,,
metadata,FAAM manifestation ID,id,KCA-TP-117692,,
metadata,call number,string,TP,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,J6ERsasy,metronome mark,
statements,editorial annotation,item,Di2mC26w,engage pedal,
statements,editorial annotation,item,NFazQXR2,release pedal,
statements,editorial annotation,item,WT9AcUBt,tempo,
statements,editorial annotation,item,WtvibJFF,accent,
statements,editorial annotation,item,YCgBhPNn,octave sign,
statements,editorial annotation,item,A4NPbBsi,ornament,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,KWVSVF8L,exoticism,
statements,keyword,item,kMVP4rDc,music of Iran,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,9T5X8LJX,Gustave Faes,GBgJfRbK|Ba3nT5xs|
statements,agent,statement,XVpibGGu,Breitkopf & Härtel,GBgJfRbK|GKcJxAtt|
statements,agent,statement,j2mERJKb,Alphonse Antoine Neufcour,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,fkHJwpoD,composer,
statements,place,item,Ba3nT5xs,Antwerp,
statements,place,item,GKcJxAtt,Leipzig,
