category,faam_property,type,value,label,qualifiers
metadata,label,string,"En revenant de la revue. Marche, Polka",,
metadata,description,string,,,
metadata,nodegoat_id,id,16005392,,
metadata,FAAM manifestation ID,id,ORP-20143702p10,,
metadata,call number,string,KTS1 H.11.map.004,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,RHxmTGG2,dance music,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,WCQ5nNkP,Louis-César Desormes,fkHJwpoD||
statements,role,item,fkHJwpoD,composer,
