category,faam_property,type,value,label,qualifiers
metadata,label,string,Alma redemptoris,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992269,,
metadata,FAAM manifestation ID,id,KCA-030901824620,,
metadata,call number,string,MM-KM-BENOI-almared-1,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,handwritten annotation,item,5fpte3tE,vertical break,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,MEjPi9ot,choral music,
statements,keyword,item,jTMjFsDj,Cecilian Movement,
statements,keyword,item,FSduWvy5,early music,
statements,keyword,item,kyU4WddT,hymn,
statements,instrumentation,item,KJkThvsq,voice,
statements,instrumentation,item,RXg4snEH,organ,
statements,musical work,item,JjEjaRYs,Alma redemptoris,
statements,agent,statement,JEZ5AweR,Schott Music,GBgJfRbK|9k2MygHr|
statements,agent,statement,73vECvez,Peter Benoit,fkHJwpoD||
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GoiPpGap,performing artist,
statements,place,item,9k2MygHr,City of Brussels,
