category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Sonate für Violine solo,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004323,,,
metadata,FAAM manifestation ID,id,BSB-991018906949707356,,,
metadata,call number,string,4 Mus.pr. 61400,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,GpNEm7nw,,engage pedal,
statements,editorial annotation,item,LQE77nqs,,release pedal,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,handwritten annotation,item,8N6k5W5i,,accidental,
statements,handwritten annotation,item,PprjdkHE,,vertical break,
statements,handwritten annotation,item,iyfjpyT2,,octave sign,
statements,handwritten annotation,item,TUdHPWU8,,alternative melody,
statements,handwritten annotation,item,gaLrAUbu,,deletion,
statements,handwritten annotation,item,2qoBxv5j,,performance practice,
statements,handwritten annotation,item,HKyA3Qzz,,dynamic,
statements,handwritten annotation,item,QGRAMUu8,,repeat sign,
statements,provenance,item,KkB2M6Gx,,Bavarian State Library,
statements,keyword,item,4Jjg5FwX,,string music,
statements,keyword,item,Tf6tmSRP,,violin sonata,
statements,keyword,item,RtkoMT89,,sonata,
statements,keyword,item,WiBZjkbR,,arrangement,
statements,instrumentation,item,G8tgNnWV,,violin,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,LVXsvFMT,,"Sonata No.1 for Violin Solo, CzaR 80",
statements,agent,statement,AUMMWhZm,,Wilhelm Rust,YvQmwaaW||
statements,agent,statement,2LiJbewP,,Ferdinand David,6UPEJgTQ||
statements,agent,statement,QE9UrJXo,,Edition Peters,7tdgMgre|4GU7NjmQ|1867
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
