category,faam_property,type,value,label,qualifiers
metadata,label,string,Sonate n° 60 [i.e. 377] : bourrée (dite d'Aranjuez) / Domenico Scarlatti...,,
metadata,description,string,,,
metadata,nodegoat_id,id,16004013,,
metadata,FAAM manifestation ID,id,BNF-432579086,,
metadata,call number,string,FOL-VM-1 (12),,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,eviEKifd,dynamic,
statements,editorial annotation,item,e9t5BdLA,decrescendo,
statements,editorial annotation,item,UDva945b,crescendo,
statements,editorial annotation,item,DqMNcjpW,trill,
statements,editorial annotation,item,CPJ2a2C2,articulation,
statements,editorial annotation,item,MCVLnYka,espressivo,
statements,editorial annotation,item,WuWcWk4u,ritenuto,
statements,editorial annotation,item,WtvibJFF,accent,
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France,
statements,keyword,item,E2chmtzQ,sonata,
statements,keyword,item,FSduWvy5,early music,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,7CmNLA8Q,Sonata K. 377,
statements,agent,statement,Na5pMDjZ,Domenico Scarlatti,fkHJwpoD||
statements,agent,statement,mc2UEWpA,Vincent d'Indy,45qo3Fj3||
statements,agent,statement,miDpPEFC,Maurice Senart,GBgJfRbK||
statements,role,item,fkHJwpoD,composer,
statements,role,item,45qo3Fj3,music editor,
statements,role,item,GBgJfRbK,publishing company,
