category,faam_property,type,value,label
metadata,label,string,"L'Art de délier les doigts, 50 études de perfectionnement op. 699 en 2 livres",
metadata,description,string,,
metadata,nodegoat_id,id,16004265,
metadata,FAAM manifestation ID,id,BNF-429307345,
metadata,call number,string,VM8 S-1056,
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,Sdw2foGQ,music theory
statements,keyword,item,9farY66Z,music education
statements,instrumentation,item,GoXpNrsh,piano
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
