category,faam_property,type,value,base_url,label
metadata,label,string,Lodovico Fuga,,
metadata,description,string,Italian Baroque composer and organist,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q105710807,http://wwww.wikidata.org/entity/,
statements,date of birth,date,1643-01-01,,
statements,date of death,date,1722-01-01,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,PGamAZRD,,organist
statements,sex or gender,item,VAnkqco6,,male
