category,faam_property,type,value,label,qualifiers
metadata,label,string,Gavotte,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992378,,
metadata,FAAM manifestation ID,id,KCA-030901805751,,
metadata,call number,string,MM-TP-DEBOE-gavotte-1,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,handwritten annotation,item,6cyBEJLr,fingering,
statements,handwritten annotation,item,Di2mC26w,engage pedal,
statements,handwritten annotation,item,NFazQXR2,release pedal,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,RHxmTGG2,dance music,
statements,keyword,item,Q2zJnYLw,children's music,
statements,keyword,item,jvhZafsd,piano cycle,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,RzK5Rhjw,Q3413638,
statements,agent,statement,8sxhcmoV,August De Boeck,fkHJwpoD||
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||
statements,agent,statement,JEZ5AweR,Schott Music,GBgJfRbK|9k2MygHr|
statements,role,item,fkHJwpoD,composer,
statements,role,item,GoiPpGap,performing artist,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,9k2MygHr,City of Brussels,
