category,faam_property,type,value,label,qualifiers
metadata,label,string,"Cours de chant ou méthode progressive et complète divisée en 2 parties, 1ère partie",,
metadata,description,string,,,
metadata,nodegoat_id,id,16004107,,
metadata,FAAM manifestation ID,id,BNF-43203582h,,
metadata,call number,string,VM8 A-183,,
metadata,score format,item,ifXZogMQ,Music Treatise,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1843,,
statements,editorial annotation,item,Wpq9sxzm,solmization,
statements,editorial annotation,item,WT9AcUBt,tempo,
statements,editorial annotation,item,Pcc4PpDc,alternative lyrics,
statements,editorial annotation,item,eviEKifd,dynamic,
statements,editorial annotation,item,RePdmToB,breath mark,
statements,editorial annotation,item,UDva945b,crescendo,
statements,editorial annotation,item,e9t5BdLA,decrescendo,
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France,
statements,keyword,item,Sdw2foGQ,music theory,
statements,keyword,item,Vm5DPnGE,vocal pedagogy,
statements,keyword,item,9farY66Z,music education,
statements,instrumentation,item,KJkThvsq,voice,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,hWRBKsLc,Bernard Latte,GBgJfRbK|GDeKaNeC|1843
statements,agent,statement,UH5RqTyQ,Francesco Piermarini,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,fkHJwpoD,composer,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
