category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Le Lac des Fées : Fantaisie : pour La Flute Avec Accompagnement de piano ou de deux Violons, Alto, Basse, Hautbois, Clarinettes, Cors, Bassons, Trompettes, Trombones et Timbales : Opera : 80.",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992801,,,
metadata,FAAM manifestation ID,id,KCG-000331423,,,
metadata,call number,string,DS4645,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,E4rhHet3,,instrument call,
statements,editorial annotation,item,amkJ6EBs,,cadenza,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,provenance,item,7jH33jwQ,,Library Royal Conservatoire Ghent,
statements,keyword,item,PNUCXvjA,,fantasy,
statements,keyword,item,DQwB3wUJ,,fantasia,
statements,keyword,item,NmYTHh3u,,fairy,
statements,keyword,item,LmDaVvmF,,reduction,
statements,keyword,item,NdA6Fzv9,,virtuoso,
statements,keyword,item,PJUnFxn4,,theme and variations,
statements,instrumentation,item,AdNoqEfD,,flute,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,LQND7DE7,,Breitkopf & Härtel,7tdgMgre||
statements,agent,statement,Xt8m8K6L,,Jean-Louis Tulou,YvQmwaaW||
