category,faam_property,type,value,label,qualifiers
metadata,label,string,"Symphony No. 3, Movement V",,
metadata,description,string,,,
metadata,nodegoat_id,id,16003961,,
metadata,FAAM manifestation ID,id,WML-768406,,
metadata,call number,string,uu_mckay_asc,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1898,,
statements,date,date,06-1979,,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,handwritten annotation,item,gSHSbZQr,instrument call,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,handwritten annotation,item,4PAdXGNC,alternative melody,
statements,handwritten annotation,item,Pcc4PpDc,alternative lyrics,
statements,handwritten annotation,item,kmMxdth8,bar number,
statements,handwritten annotation,item,JnGFsz6r,pointer,
statements,handwritten annotation,item,9XeBLVBn,mute,
statements,handwritten annotation,item,c5cZmF37,decrescendo,
statements,handwritten annotation,item,UDva945b,crescendo,
statements,handwritten annotation,item,e9t5BdLA,decrescendo,
statements,handwritten annotation,item,SnxsnGvi,deletion,
statements,provenance,item,3xcm7SKP,J. Willard Marriott Library,
statements,keyword,item,mgrwHwTj,symphony,
statements,instrumentation,item,g7hgtzmM,orchestra,
statements,musical work,item,FXG4hBLe,Symphony No. 3,
statements,agent,statement,DMmrDj7M,Gustav Mahler,fkHJwpoD||
statements,agent,statement,3GuXLQzZ,Universal Music Publishing Group,GBgJfRbK||1898
statements,agent,statement,BFrbSzjH,Maurice Abravanel,2ZAuwsSp||06-1979
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,2ZAuwsSp,conductor,
