category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,6 Suites : voor cello alleen : BWV 1007-1012,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992686,,,
metadata,FAAM manifestation ID,id,KCG-000332191,,,
metadata,call number,string,A2602,,,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,K4TocMAK,,slur,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,HHYqWvTC,,comparative study,
statements,editorial annotation,item,93GDD9ND,,ornament,
statements,editorial annotation,item,TUdHPWU8,,alternative melody,
statements,editorial annotation,item,EXzrp8XT,,ossia,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,handwritten annotation,item,aAsRZoVk,,breath mark,
statements,handwritten annotation,item,K4TocMAK,,slur,
statements,handwritten annotation,item,8N6k5W5i,,accidental,
statements,provenance,item,7jH33jwQ,,Library Royal Conservatoire Ghent,
statements,keyword,item,Y5VdxeTi,,suite,
statements,keyword,item,4Jjg5FwX,,string music,
statements,keyword,item,Gx3B7DJH,,early music,
statements,instrumentation,item,2nFJpnZ8,,cello,
statements,musical work,item,62naNRmC,,Cello Suites,
statements,agent,statement,GecAsFfL,,Johann Sebastian Bach,YvQmwaaW||
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
statements,agent,statement,4XYe8Utf,,Robert Hausmann,6UPEJgTQ||
statements,agent,statement,W8EfwtH8,,Steingräber Verlag,7tdgMgre|4GU7NjmQ|
