category,faam_property,type,value,label,qualifiers
metadata,label,string,Yolande : lyrische legende,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992313,,
metadata,FAAM manifestation ID,id,KCA-030902567517,,
metadata,call number,string,MM-MS-WAMBA-yolande-3,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,THYV2oLw,Manuscript sketch,
statements,handwritten annotation,item,B7WuhvkL,fermata,
statements,handwritten annotation,item,5fpte3tE,vertical break,
statements,handwritten annotation,item,RePdmToB,breath mark,
statements,handwritten annotation,item,3WB3MVBB,Tenuto,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,handwritten annotation,item,Wpq9sxzm,solmization,
statements,handwritten annotation,item,bsgSL8K5,Rehearsal letter,
statements,handwritten annotation,item,SnxsnGvi,deletion,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,5A76cUYt,drame lyrique,
statements,keyword,item,BZa5CHMu,medievalism,
statements,keyword,item,M6r7boi8,fantasy,
statements,keyword,item,M9HRWrxt,reduction,
statements,instrumentation,item,KJkThvsq,voice,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||
statements,agent,statement,MCiewpqP,Émile Wambach,fkHJwpoD||
statements,role,item,GoiPpGap,performing artist,
statements,role,item,fkHJwpoD,composer,
