category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Entracte-Pizzicato - Op. 39,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005381,,,
metadata,FAAM manifestation ID,id,ORP-20143703p22,,,
metadata,call number,string,KTS1 H.11.map.003,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"Resounce available on IMSLP: https://imslp.org/wiki/Pizzicato,_Op.39_(Thom%C3%A9,_Francis)",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,instrumentation,item,fTDkNCW3,,orchestra,
statements,agent,statement,Se8gcLKm,,Francis Thomé,YvQmwaaW||
