category,faam_property,type,value,label,base_url,qualifiers
metadata,label,string,ANTHOLOGIE DES MAITRES RELIGIEUX PRIMITIFS DES. . Livre des Motets. 2. Année -1894,,,
metadata,description,string,,,,
metadata,nodegoat_id,id,16002722,,,
metadata,FAAM manifestation ID,id,KCA-KV7618,,,
metadata,call number,string,KV7618,,,
metadata,score format,item,ktjyHrtb,Full Score,,
metadata,score complexity,item,iTQMfTAE,Mechanical print,,
statements,IMSLP ID,externalid,"Anthologie des maîtres religieux primitifs des XVe, XVIe & XVIIe siècles (Bordes, Charles)",,https://imslp.org/wiki/,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,1894,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,gSHSbZQr,instrument call,,
statements,editorial annotation,item,J6ERsasy,metronome mark,,
statements,editorial annotation,item,bsgSL8K5,Rehearsal letter,,
