category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Kinder cantate,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992311,,,
metadata,FAAM manifestation ID,id,KCA-030902605721,,,
metadata,call number,string,MM-MS-WAMBA-kinder-1,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,KxvTqqX5,,Manuscript sketch,
statements,handwritten annotation,item,7qCCArxX,,signature,
statements,handwritten annotation,item,hJoKsjEm,,variation,
statements,handwritten annotation,item,E4rhHet3,,instrument call,
statements,handwritten annotation,item,UMravioT,,alternative lyrics,
statements,handwritten annotation,item,2qoBxv5j,,performance practice,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,Hp9W6GY6,,cantata,
statements,keyword,item,4tQBaATq,,symphonic music,
statements,keyword,item,YVdQHjKd,,choral music,
statements,instrumentation,item,fTDkNCW3,,orchestra,
statements,instrumentation,item,nJY8Xxwz,,choir,
statements,agent,statement,AedSA8fV,,Émile Wambach,YvQmwaaW||1885
