category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Morceau de lecture à vue,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005532,,,
metadata,FAAM manifestation ID,id,ORP-20143988p29,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3209
L'Illustration, N. 3209",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,NkfcVjHM,,music education,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,3dw4QAMB,,Samuel Rousseau,YvQmwaaW||
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|27-08-1904
