category,faam_property,type,value,label,base_url,qualifiers
metadata,label,string,"2e Grand Sextuor : pour Piano-Forte, 2 Violons, Alto, Violoncelle et Contre Basse : Op. 85",,,
metadata,description,string,,,,
metadata,nodegoat_id,id,15992590,,,
metadata,FAAM manifestation ID,id,KCG-000334850,,,
metadata,call number,string,II-A-57,,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,,
metadata,score format,item,g5WgfTuF,Parts,,
metadata,score complexity,item,iTQMfTAE,Mechanical print,,
statements,IMSLP ID,externalid,"Piano_Sextet_No.2,_Op.85_(Bertini,_Henri)",,https://imslp.org/wiki/,
statements,date,date,1833,,,
statements,handwritten annotation,item,6cyBEJLr,fingering,,
statements,handwritten annotation,item,Di2mC26w,engage pedal,,
statements,handwritten annotation,item,NFazQXR2,release pedal,,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,,
statements,keyword,item,aWLSfvkc,sextet,,
statements,keyword,item,6kwYh3HH,chamber music,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,instrumentation,item,VZE4bgeN,violin,,
statements,instrumentation,item,WsKgSBQG,viola,,
statements,instrumentation,item,4oyT6BBG,cello,,
statements,instrumentation,item,5cucf8tb,double bass,,
statements,musical work,item,9hL2fJWU,"Piano Sextet No.2, Op.85",,
statements,agent,statement,3NyookEG,Anonymous,,GoiPpGap||
statements,agent,statement,Mqi4X7X4,Henri Bertini,,fkHJwpoD||1833
statements,role,item,GoiPpGap,performing artist,,
statements,role,item,fkHJwpoD,composer,,
