category,faam_property,type,value,label
metadata,label,string,24 études d'agilité et d'expression [pour piano] op. 45,
metadata,description,string,,
metadata,nodegoat_id,id,16005724,
metadata,FAAM manifestation ID,id,BNF-43135639k,
metadata,call number,string,VM8 S-512,
metadata,score format,item,g5WgfTuF,Parts
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,9farY66Z,music education
statements,keyword,item,UGSpFRmF,piano music
statements,keyword,item,hdoGP2QJ,musical expression
statements,instrumentation,item,GoXpNrsh,piano
statements,role,item,fkHJwpoD,composer
