category,faam_property,type,value,label,qualifiers
metadata,label,string,"Sonate : für Klavier und Horn, op. 17",,
metadata,description,string,,,
metadata,nodegoat_id,id,15992714,,
metadata,FAAM manifestation ID,id,KCA-030901428612,,
metadata,call number,string,MM-BH-BEETH-sonat17-4 MM-BH-BEETH-sonat17-4,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,handwritten annotation,item,J6ERsasy,metronome mark,
statements,handwritten annotation,item,6cyBEJLr,fingering,
statements,handwritten annotation,item,9dz9ydpz,legato,
statements,handwritten annotation,item,3ts8CrNB,musical phrasing,
statements,handwritten annotation,item,Di2mC26w,engage pedal,
statements,handwritten annotation,item,NFazQXR2,release pedal,
statements,handwritten annotation,item,WtvibJFF,accent,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,6kwYh3HH,chamber music,
statements,keyword,item,E2chmtzQ,sonata,
statements,instrumentation,item,GoXpNrsh,piano,
statements,instrumentation,item,N3AKKugd,horn,
statements,musical work,item,fUwTYuM6,Horn Sonata,
statements,agent,statement,GQ9LXzE7,Edition Peters,GBgJfRbK|GKcJxAtt|
statements,agent,statement,98W5cKAM,Ludwig van Beethoven,fkHJwpoD||
statements,agent,statement,CT372LTH,Marinus de Jong,GoiPpGap|Ba3nT5xs|
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GoiPpGap,performing artist,
statements,place,item,GKcJxAtt,Leipzig,
statements,place,item,Ba3nT5xs,Antwerp,
