category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Sonate : n° IV a moll: für Orgel, op. 98",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004130,,,
metadata,FAAM manifestation ID,id,KCA-030904127948,,,
metadata,call number,string,MM-TO-RHEIN-sonat4-1,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,handwritten annotation,item,2qoBxv5j,,performance practice,
statements,handwritten annotation,item,AXPMg3hj,,pedal keyboard,
statements,handwritten annotation,item,m9rNaSAR,,rallentando,
statements,handwritten annotation,item,mkCY9LDD,,tempo,
statements,handwritten annotation,item,NRsZG792,,bounding,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,RtkoMT89,,sonata,
statements,keyword,item,WgWRP5cq,,organ music,
statements,instrumentation,item,8cygiHEB,,organ,
statements,musical work,item,ADhSnLtb,,"Organ Sonata No.4, Op.98",
statements,agent,statement,4HHqPg2E,,Robert Forberg,7tdgMgre|4GU7NjmQ|
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
statements,agent,statement,SZPVNBar,,Josef Rheinberger,YvQmwaaW||
