category,faam_property,type,value,label,qualifiers
metadata,label,string,Ouverture d'Anacréon ou l'Amour Fugitif : A Grand Orchestre,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992621,,
metadata,FAAM manifestation ID,id,KCG-000339227,,
metadata,call number,string,II 1645,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
metadata,score complexity,item,j3pK6Dqo,Lithographic quality,
statements,date,date,1836,,
statements,handwritten annotation,item,EgH6igGS,signature,
statements,handwritten annotation,item,DS9HvPwY,point in time,
statements,handwritten annotation,item,gSHSbZQr,instrument call,
statements,handwritten annotation,item,bsgSL8K5,Rehearsal letter,
statements,handwritten annotation,item,3zoajAt8,rest measure count,
statements,handwritten annotation,item,SnxsnGvi,deletion,
statements,handwritten annotation,item,8Ki8U5U4,underline,
statements,handwritten annotation,item,YWfofDz3,bounding,
statements,handwritten annotation,item,CFKULSen,instrument substitution,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,hxYumS2J,opera,
statements,keyword,item,FHTHb7Dq,overture,
statements,instrumentation,item,VZE4bgeN,violin,
statements,instrumentation,item,WsKgSBQG,viola,
statements,instrumentation,item,4oyT6BBG,cello,
statements,instrumentation,item,5cucf8tb,double bass,
statements,instrumentation,item,MV3uErvy,flute,
statements,musical work,item,KBJYMAjV,Anacréon,
statements,agent,statement,QvFqeM43,Émile Wambach,2ZAuwsSp|8LdweD7c|1836
statements,agent,statement,FbNe7Pgk,Luigi Cherubini,fkHJwpoD||
statements,role,item,2ZAuwsSp,conductor,
statements,role,item,fkHJwpoD,composer,
statements,place,item,8LdweD7c,Ghent,
