category,faam_property,type,value,label
metadata,label,string,Julius Stockhausens Gesangs-Methode,
metadata,description,string,,
metadata,nodegoat_id,id,16004210,
metadata,FAAM manifestation ID,id,BSB-991075924329707356,
metadata,call number,string,4 B.Sandb. 69,
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,FDCuefHz,Bavarian State Library
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
