category,faam_property,type,value,label,base_url,qualifiers
metadata,label,string,Philippi de Monte. VIII Magnificat,,,
metadata,description,string,,,,
metadata,nodegoat_id,id,15996315,,,
metadata,FAAM manifestation ID,id,KCG-39.OP.OMdeMonte23,,,
metadata,score format,item,ktjyHrtb,Full Score,,
metadata,score complexity,item,iTQMfTAE,Mechanical print,,
statements,RISM ID,externalid,sources/1001153195,,https://rism.online/,
statements,date,date,1930,,,
statements,date,date,1930,,,
statements,editorial annotation,item,eviEKifd,dynamic,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,RePdmToB,breath mark,,
statements,editorial annotation,item,c5cZmF37,decrescendo,,
statements,editorial annotation,item,UDva945b,crescendo,,
statements,editorial annotation,item,WuWcWk4u,ritenuto,,
statements,editorial annotation,item,aCRY7SgN,accidental,,
statements,editorial annotation,item,kmMxdth8,bar number,,
statements,editorial annotation,item,9dz9ydpz,legato,,
statements,editorial annotation,item,byLEfakR,marcato,,
statements,editorial annotation,item,WtvibJFF,accent,,
statements,editorial annotation,item,LiFYdNgN,comparative study,,
statements,editorial annotation,item,k4aUnbrD,comparison,,
statements,editorial annotation,item,HLS3i3gt,citation,,
statements,handwritten annotation,item,SnxsnGvi,deletion,,
statements,handwritten annotation,item,DS9HvPwY,point in time,,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,,
statements,keyword,item,FSduWvy5,early music,,
statements,keyword,item,jTMjFsDj,Cecilian Movement,,
statements,instrumentation,item,5yLc7bQJ,choir,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,agent,statement,T4vPoxnM,Jules Van Nuffel,,45qo3Fj3||1930
statements,agent,statement,ABZnoc4f,Éditions Desclée de Brouwer,,GBgJfRbK||1930
statements,agent,statement,fNVPSqGG,Philippe de Monte,,fkHJwpoD||
statements,role,item,45qo3Fj3,music editor,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
