category,faam_property,type,value,label,qualifiers
metadata,label,string,Toccate: pour piano,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992381,,
metadata,FAAM manifestation ID,id,KCA-030901805850,,
metadata,call number,string,MM-TP-DEBOE-tocca-1,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,note,html,Dedicated to Marguerite Laenen.,,
statements,date,date,1908,,
statements,editorial annotation,item,J6ERsasy,metronome mark,
statements,editorial annotation,item,WT9AcUBt,tempo,
statements,editorial annotation,item,byLEfakR,marcato,
statements,editorial annotation,item,QJ92QxQv,staccato,
statements,editorial annotation,item,9XeBLVBn,mute,
statements,editorial annotation,item,c5cZmF37,decrescendo,
statements,editorial annotation,item,iWuVLJam,rallentando,
statements,handwritten annotation,item,6cyBEJLr,fingering,
statements,handwritten annotation,item,YWfofDz3,bounding,
statements,handwritten annotation,item,WtvibJFF,accent,
statements,handwritten annotation,item,Wpq9sxzm,solmization,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,handwritten annotation,item,UDva945b,crescendo,
statements,handwritten annotation,item,K9MgTT3J,cut,
statements,handwritten annotation,item,jCuFYGDc,ink stamp,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,EEXifHqY,toccata,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,8sxhcmoV,August De Boeck,fkHJwpoD||
statements,agent,statement,LWmfQ5pk,J. Pletinckx,GBgJfRbK|9k2MygHr|1908
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,9k2MygHr,City of Brussels,
