category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Pierluigi da Palestrina's Werke. 7: Vier-, sechs-, acht- und zwölfstimmige Motetten aus dem Nachlaß : nebst e. Verzeichniß der in Bd. I - VII enth. Motetten",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992771,,,
metadata,FAAM manifestation ID,id,BSB-991082708499707356,,,
metadata,call number,string,S nv/Ol 2-7/9,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,JXYgRRuc,,musica ficta,
statements,provenance,item,KkB2M6Gx,,Bavarian State Library,
statements,keyword,item,ZMpsLcpT,,Cecilian Movement,
statements,keyword,item,YVdQHjKd,,choral music,
statements,keyword,item,Gx3B7DJH,,early music,
statements,instrumentation,item,nJY8Xxwz,,choir,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,LQND7DE7,,Breitkopf & Härtel,7tdgMgre|4GU7NjmQ|1876
statements,agent,statement,muPeVVwX,,Theodor de Witt,6UPEJgTQ||1876
statements,agent,statement,ivLCrpn3,,Franz Espagne,6UPEJgTQ||
statements,agent,statement,nHfR4BAi,,Giovanni Pierluigi da Palestrina,YvQmwaaW||
