category,faam_property,type,value,label,base_url,qualifiers
metadata,label,string,Convoluut,,,
metadata,description,string,,,,
metadata,nodegoat_id,id,16002811,,,
metadata,FAAM manifestation ID,id,KCA-030902808952,,,
metadata,call number,string,MM-TP-STEIB-sonat65-1,,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,,
metadata,score complexity,item,iTQMfTAE,Mechanical print,,
statements,RISM ID,externalid,sources/990061433,,https://rism.online/,
statements,editorial annotation,item,Di2mC26w,engage pedal,,
statements,editorial annotation,item,NFazQXR2,release pedal,,
statements,editorial annotation,item,TN2gP3Pq,Messa di voce,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,keyword,item,E2chmtzQ,sonata,,
statements,instrumentation,item,KpADqoUN,fortepiano,,
statements,agent,statement,QWXmTNRx,Jérôme-Joseph de Momigny,,GBgJfRbK|GDeKaNeC|
statements,agent,statement,SPKgGfTC,Daniel Steibelt,,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
