category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Ismaïl,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005569,,,
metadata,FAAM manifestation ID,id,ORP-20143988p66,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3314
L'Illustration, N. 3314",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,8rovk6Ag,,exoticism,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,Cnqz9txA,,Louis Dumas,YvQmwaaW||
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|01-09-1906
