category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"Faun und Schäferin: liedercyklus für Gesang und Klavier, op. 2 = Le faune et la bergère: suite pour chant et piano, opus 2",,,
metadata,description,string,,,,
metadata,id,id,Bcw2utug,,,
metadata,nodegoat_id,id,15992282,,,
metadata,FAAM manifestation ID,id,KCA-030902642138,,,
metadata,call number,string,MM-LEPP-STRAV-favn-1,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,handwritten annotation,item,5cGY6iAh,transliteration,,
statements,handwritten annotation,item,5fpte3tE,,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,fQLeQtvy,song cycle,,
statements,keyword,item,2ERFye5m,pastoral,,
statements,keyword,item,M9HRWrxt,reduction,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,NeVQ2pdU,,,
statements,agent,statement,3NyookEG,,GoiPpGap||,
statements,agent,statement,nKP9cAbn,,fkHJwpoD||,
statements,agent,statement,dFuet8CD,,GBgJfRbK||,
statements,agent,statement,,,||,
statements,role,item,GoiPpGap,performing artist,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,,,,
statements,place,item,,,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030902642138.gif,,,../assets/images/thumbs/
