category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Tarantelle. Op. 12,,,
metadata,description,string,,,,
metadata,id,id,BadLudHM,,,
metadata,nodegoat_id,id,16005451,,,
metadata,FAAM manifestation ID,id,ORP-20143700p2,,,
metadata,call number,string,KTS1 H.11.map.006,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,keyword,item,RHxmTGG2,dance music,,
statements,instrumentation,item,g7hgtzmM,orchestra,,
statements,agent,statement,TPCAgtpj,,fkHJwpoD||,
statements,role,item,fkHJwpoD,composer,,
statements,place,item,,,,
resources,thumb,image,ORP-20143700p2.gif,,,../assets/images/thumbs/
